gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Ain Zaghouan,109,1.0,2,2,Nouveau,1,371000.0
tunis,Ariana Ville,97,3.0,2,2,Nouveau,1,548000.0
tunis,Les Berges Du Lac,300,5.0,4,3,Bon état,1,1800000.0
tunis,Ain Zaghouan,118,3.0,2,2,Moins d'un an,1,376000.0
tunis,Ariana Ville,125,4.0,3,2,Moins d'un an,1,416000.0
tunis,Ariana Ville,245,4.0,3,2,1-5 ans,1,900000.0
tunis,El Manar,220,6.0,4,4,Bon état,1,720000.0
tunis,Ariana Ville,153,5.0,3,2,5-10 ans,1,520000.0
tunis,Ariana Ville,188,5.0,3,2,5-10 ans,5,690000.0
tunis,Hrairia,140,4.0,3,1,10-20 ans,1,205000.0
tunis,Aouina,94,3.0,2,1,Moins d'un an,3,270000.0
tunis,Ariana Ville,76,1.0,2,1,nan,1,435000.0
tunis,Ariana Ville,157,4.0,3,2,Nouveau,1,700000.0
tunis,Ariana Ville,100,3.0,2,1,Nouveau,1,555000.0
tunis,El Ouardia,100,3.0,2,1,Bon état,1,270000.0
tunis,Ain Zaghouan,67,1.0,1,1,Nouveau,1,241000.0
tunis,El Manar,109,4.0,3,1,Bon état,1,260000.0
tunis,Aouina,147,4.0,3,2,Bon état,5,370000.0
tunis,Ariana Ville,103,4.0,3,1,Bon état,1,300000.0
tunis,Gammarth,150,3.0,2,2,Nouveau,1,980000.0
tunis,Gammarth,111,2.0,1,1,Bon état,1,720000.0
tunis,Ariana Ville,130,3.0,2,2,Moins d'un an,1,720000.0
tunis,Les Berges Du Lac,194,4.0,3,3,10-20 ans,1,865000.0
tunis,Aouina,74,2.0,1,1,1-5 ans,6,230000.0
tunis,Les Berges Du Lac,232,4.0,3,2,Bon état,1,1000000.0
tunis,Le Bardo,300,4.0,3,1,Moins d'un an,1,1850000.0
tunis,Ariana Ville,181,4.0,3,3,Moins d'un an,1,795000.0
tunis,Aouina,112,4.0,3,2,Bon état,1,594000.0
tunis,Ariana Ville,109,2.0,2,1,nan,1,250000.0
tunis,Ain Zaghouan,115,3.0,2,2,Moins d'un an,1,490000.0
tunis,El Menzah 7,116,3.0,2,1,1-5 ans,3,420000.0
tunis,Ain Zaghouan,117,3.0,2,2,Moins d'un an,1,386000.0
tunis,Ain Zaghouan,189,3.0,3,1,5-10 ans,1,640000.0
tunis,Ain Zaghouan,122,3.0,2,2,Moins d'un an,3,400000.0
tunis,Ariana Ville,162,3.0,2,1,nan,1,825000.0
tunis,Gammarth,138,3.0,2,2,Nouveau,1,692500.0
tunis,Gammarth,149,3.0,2,1,Nouveau,1,972000.0
tunis,Gammarth,138,3.0,2,1,Nouveau,1,531552.0
tunis,Ariana Ville,112,2.0,2,1,nan,1,398000.0
tunis,Le Bardo,137,2.0,2,1,nan,1,300000.0
tunis,Ariana Ville,163,4.0,3,2,Nouveau,1,825000.0
tunis,Le Bardo,93,1.0,2,1,5-10 ans,1,270000.0
tunis,Le Bardo,100,4.0,3,1,Bon état,2,260000.0
tunis,Ain Zaghouan,160,3.0,2,2,Nouveau,1,865000.0
tunis,Ariana Ville,170,4.0,3,3,1-5 ans,1,788000.0
tunis,Ariana Ville,153,4.0,3,2,Bon état,1,530000.0
tunis,Ain Zaghouan,120,3.0,2,2,Nouveau,1,564000.0
tunis,Le Bardo,97,3.0,2,1,10-20 ans,4,280000.0
tunis,Ariana Ville,230,5.0,3,2,Bon état,1,790000.0
tunis,Ariana Ville,200,4.0,3,2,1-5 ans,1,1600000.0
tunis,Ain Zaghouan,102,2.0,2,1,Nouveau,1,750000.0
tunis,Aouina,100,3.0,2,1,Nouveau,1,260000.0
tunis,Gammarth,120,2.0,1,1,Bon état,1,680000.0
tunis,Ariana Ville,172,4.0,4,3,Moins d'un an,1,780000.0
tunis,Ariana Ville,99,3.0,2,2,Moins d'un an,1,437000.0
tunis,Ariana Ville,136,4.0,3,3,Moins d'un an,1,590000.0
tunis,Ariana Ville,126,3.0,2,2,Nouveau,1,668000.0
tunis,Cite El Khadra,160,4.0,3,1,Bon état,2,304000.0
tunis,Ariana Ville,136,4.0,3,3,Moins d'un an,1,620000.0
tunis,Ain Zaghouan,167,4.0,3,3,Moins d'un an,2,635000.0
tunis,Ariana Ville,200,4.0,3,2,Bon état,1,990000.0
tunis,Ariana Ville,70,2.0,1,1,Bon état,1,410000.0
tunis,Ariana Ville,100,2.0,2,1,nan,1,340000.0
tunis,Bab Bhar,41,2.0,2,1,Bon état,1,110000.0
tunis,Ariana Ville,75,2.0,2,1,nan,1,570000.0
tunis,Ariana Ville,155,4.0,3,2,5-10 ans,3,550000.0
tunis,Ariana Ville,68,2.0,2,1,10-20 ans,2,400000.0
tunis,Ariana Ville,115,3.0,2,2,Bon état,1,415000.0
tunis,El Manar,180,4.0,3,2,20-30 ans,1,470000.0
tunis,Ain Zaghouan,206,3.0,2,2,10-20 ans,1,390000.0
tunis,Ain Zaghouan,43,1.0,1,1,Moins d'un an,1,245000.0
tunis,Aouina,109,3.0,2,1,10-20 ans,6,250000.0
tunis,Les Berges Du Lac,180,4.0,3,3,5-10 ans,3,820000.0
tunis,Aouina,73,2.0,1,1,10-20 ans,3,175000.0
tunis,El Ouardia,97,3.0,2,1,10-20 ans,6,210000.0
tunis,Ariana Ville,185,4.0,3,3,Moins d'un an,1,1320000.0
tunis,Ariana Ville,83,3.0,2,1,Moins d'un an,3,450000.0
tunis,Ariana Ville,300,5.0,4,3,1-5 ans,4,3000000.0
tunis,Ariana Ville,30,3.0,2,1,1-5 ans,10,680000.0
tunis,Ariana Ville,300,18.0,12,6,Bon état,1,900000.0
tunis,Gammarth,30,3.0,2,1,Moins d'un an,1,1850000.0
tunis,Aouina,142,4.0,3,2,Moins d'un an,3,370000.0
tunis,Ain Zaghouan,167,4.0,3,3,Moins d'un an,1,635000.0
tunis,Ariana Ville,194,5.0,4,4,Moins d'un an,3,1150000.0
tunis,Ariana Ville,92,3.0,2,1,Moins d'un an,1,506000.0
tunis,Ariana Ville,137,3.0,2,2,Moins d'un an,1,724000.0
tunis,Les Berges Du Lac,74,2.0,1,1,1-5 ans,1,380000.0
tunis,Bab Bhar,114,3.0,3,1,Bon état,2,230000.0
tunis,Ariana Ville,220,3.0,4,1,Nouveau,1,650000.0
tunis,Ariana Ville,172,4.0,3,2,Nouveau,1,855000.0
tunis,Ariana Ville,208,4.0,3,2,Nouveau,1,850000.0
tunis,Les Berges Du Lac,238,4.0,3,2,Nouveau,1,1000000.0
tunis,Gammarth,149,2.0,2,1,nan,1,410000.0
tunis,Ariana Ville,84,2.0,2,1,nan,1,750000.0
tunis,Ariana Ville,300,4.0,4,3,1-5 ans,1,950000.0
tunis,Ain Zaghouan,85,2.0,1,1,Nouveau,1,400000.0
tunis,Ariana Ville,67,1.0,2,1,nan,1,276000.0
tunis,El Menzah 7,145,1.0,4,2,À rénover,1,450000.0
tunis,Cite El Khadra,120,4.0,3,2,1-5 ans,4,290000.0
tunis,Ariana Ville,75,3.0,2,1,Bon état,1,370000.0
tunis,Ain Zaghouan,137,4.0,3,2,Bon état,1,410000.0
tunis,Ain Zaghouan,146,1.0,2,2,Bon état,1,575000.0
tunis,Les Berges Du Lac,220,4.0,3,2,Nouveau,1,1000000.0
tunis,Aouina,65,1.0,1,1,Moins d'un an,4,227500.0
tunis,El Menzah 7,120,4.0,4,1,Bon état,1,450000.0
tunis,El Manar,100,3.0,3,1,À rénover,1,220000.0
tunis,Ain Zaghouan,202,5.0,4,3,Bon état,7,620000.0
tunis,Gammarth,150,3.0,2,2,Bon état,1,950000.0
tunis,Ariana Ville,273,5.0,4,5,Nouveau,1,1801110.0
tunis,Ariana Ville,147,3.0,2,2,Nouveau,1,650000.0
tunis,Ariana Ville,190,4.0,3,3,Moins d'un an,3,1263000.0
tunis,Ariana Ville,30,1.0,1,1,Moins d'un an,1,300000.0
tunis,Ain Zaghouan,127,3.0,2,2,Nouveau,1,370000.0
tunis,Ariana Ville,152,4.0,3,3,Moins d'un an,1,820000.0
tunis,Sidi Hassine,69,2.0,1,1,Nouveau,1,112470.0
tunis,Ariana Ville,155,2.0,2,1,nan,1,580000.0
tunis,Ariana Ville,30,4.0,2,1,Nouveau,1,950000.0
tunis,Aouina,64,2.0,1,1,1-5 ans,4,240000.0
tunis,Aouina,156,4.0,3,2,5-10 ans,6,375000.0
tunis,Ain Zaghouan,87,2.0,1,1,Bon état,1,330000.0
tunis,El Ouardia,30,1.0,1,1,1-5 ans,4,125000.0
tunis,El Ouardia,87,3.0,2,1,Bon état,1,120000.0
tunis,Ariana Ville,150,3.0,2,3,Moins d'un an,3,928000.0
tunis,Ain Zaghouan,74,2.0,1,1,Moins d'un an,1,350000.0
tunis,Aouina,150,4.0,3,2,Nouveau,1,408000.0
tunis,Ariana Ville,187,5.0,4,2,1-5 ans,1,970000.0
tunis,Ain Zaghouan,146,4.0,3,1,10-20 ans,2,318000.0
tunis,Ain Zaghouan,131,3.0,2,2,Moins d'un an,1,486000.0
tunis,Gammarth,115,2.0,1,1,5-10 ans,1,900000.0
tunis,Ain Zaghouan,158,5.0,4,2,Bon état,1,645000.0
tunis,Ain Zaghouan,198,3.0,2,2,Moins d'un an,2,710000.0
tunis,Bab El Khadra,120,4.0,3,2,Bon état,1,265000.0
tunis,Ariana Ville,156,2.0,3,2,1-5 ans,2,220000.0
tunis,Aouina,127,3.0,2,2,Bon état,1,400000.0
tunis,Les Berges Du Lac,180,4.0,3,3,Bon état,1,850000.0
tunis,Ariana Ville,85,2.0,1,1,Nouveau,1,290000.0
tunis,Sidi Hassine,121,4.0,3,1,Moins d'un an,1,195860.0
tunis,Ariana Ville,264,2.0,2,1,nan,1,570000.0
