delegation,superficie,nb_pieces,chambres,salle_de_bains,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
33.0,110.0,3.0,2,1,1,0.0,0.0,0.0,1.0,480000.0
9.0,132.0,4.0,3,1,1,0.0,0.0,0.0,1.0,415000.0
34.0,179.0,4.0,3,3,1,0.0,0.0,0.0,1.0,550000.0
33.0,55.0,2.0,1,1,1,0.0,0.0,0.0,1.0,385000.0
40.0,85.0,3.0,2,1,1,0.0,0.0,0.0,1.0,135000.0
9.0,75.0,2.0,1,1,1,0.0,0.0,0.0,1.0,175000.0
34.0,75.0,5.0,3,1,1,0.0,0.0,0.0,1.0,100000.0
33.0,93.0,3.0,2,1,1,0.0,0.0,0.0,1.0,380000.0
33.0,183.0,4.0,3,1,1,0.0,0.0,0.0,1.0,850000.0
62.0,100.0,4.0,2,1,2,0.0,0.0,0.0,1.0,415000.0
33.0,128.0,4.0,3,2,1,0.0,0.0,0.0,1.0,350000.0
9.0,107.0,3.0,2,1,2,0.0,0.0,0.0,1.0,230000.0
9.0,100.0,3.0,2,1,2,0.0,0.0,0.0,1.0,270000.0
19.0,110.0,4.0,4,2,3,0.0,0.0,0.0,1.0,220000.0
9.0,153.0,4.0,3,1,5,0.0,0.0,0.0,1.0,390000.0
21.0,170.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1126000.0
62.0,142.0,3.0,2,2,8,0.0,0.0,0.0,1.0,784000.0
21.0,166.0,3.0,2,2,1,0.0,0.0,0.0,1.0,632000.0
49.0,178.0,4.0,3,1,1,0.0,0.0,0.0,1.0,500000.0
23.0,154.0,4.0,4,1,1,0.0,0.0,0.0,1.0,300000.0
49.0,120.0,4.0,3,1,1,0.0,0.0,0.0,1.0,295000.0
57.0,180.0,4.0,3,2,1,0.0,0.0,0.0,1.0,660000.0
9.0,200.0,4.0,3,2,1,0.0,0.0,0.0,1.0,520000.0
33.0,300.0,5.0,4,2,1,0.0,0.0,0.0,1.0,850000.0
33.0,121.0,3.0,2,1,1,0.0,0.0,0.0,1.0,550000.0
33.0,124.0,3.0,2,2,3,0.0,0.0,0.0,1.0,590000.0
33.0,222.0,2.0,3,3,1,0.0,0.0,0.0,1.0,1500000.0
21.0,159.0,4.0,3,3,5,0.0,0.0,0.0,1.0,507000.0
21.0,74.0,2.0,1,1,4,0.0,0.0,0.0,1.0,259000.0
21.0,182.0,4.0,3,3,2,0.0,0.0,0.0,1.0,600000.0
33.0,118.0,2.0,2,1,1,0.0,0.0,0.0,1.0,480000.0
33.0,158.0,4.0,3,3,2,0.0,0.0,0.0,1.0,720000.0
33.0,70.0,1.0,1,1,1,0.0,0.0,0.0,1.0,226000.0
9.0,128.0,4.0,4,1,1,0.0,0.0,0.0,1.0,360000.0
57.0,150.0,3.0,2,1,1,0.0,0.0,0.0,1.0,930000.0
9.0,154.0,4.0,3,2,1,0.0,0.0,0.0,1.0,370000.0
62.0,289.0,4.0,3,3,1,0.0,0.0,0.0,1.0,1445000.0
33.0,67.0,2.0,1,1,1,0.0,0.0,0.0,1.0,280000.0
21.0,118.0,3.0,2,2,3,0.0,0.0,0.0,1.0,389000.0
